סמל_ישוב,שם_ישוב,סמל_נפה,שם_נפה,סמל_מועצה_איזורית,שם_מועצה
845,כפר עזה ,61,אשקלון ,37,שער הנגב
132,כפר ברוך ,23,עפולה ,9,עמק יזרעאל
220,כפר ביאליק ,31,חיפה ,12,זבולון
177,"כפר ביל""ו ",44,רחובות ,30,גזר
2010,כפר בן נון ,43,רמלה ,30,גזר
357,כפר בלום ,21,צפת ,1,הגליל העליון
707,כפר דניאל ,43,רמלה ,25,חבל מודיעין
3488,כפר עציון ,76,בית לחם ,76,גוש עציון
427,כפר גלים ,31,חיפה ,15,חוף הכרמל
106,כפר גדעון ,23,עפולה ,9,עמק יזרעאל
76,כפר גלעדי ,21,צפת ,1,הגליל העליון
310,כפר גליקסון ,32,חדרה ,14,מנשה
696,"כפר חב""ד ",43,רמלה ,40,שדות דן
192,כפר החורש ,23,עפולה ,9,עמק יזרעאל
254,כפר המכבי ,31,חיפה ,12,זבולון
582,כפר הנגיד ,44,רחובות ,27,גן רווה
1297,כפר חנניה ,21,צפת ,2,מרום הגליל
443,כפר הנשיא ,21,צפת ,1,הגליל העליון
890,כפר הנוער הדתי ,31,חיפה ,12,זבולון
3796,כפר האורנים ,74,ראמאללה ,73,מטה בנימין
888,"כפר הרי""ף ",61,אשקלון ,35,יואב
217,"כפר הרא""ה ",41,השרון ,16,עמק חפר
4004,כפר חרוב ,29,גולן ,71,גולן
112,כפר חסידים א' ,31,חיפה ,12,זבולון
889,כפר חסידים ב' ,31,חיפה ,12,זבולון
193,כפר חיים ,41,השרון ,16,עמק חפר
187,כפר הס ,41,השרון ,18,לב השרון
255,כפר חיטים ,22,כנרת ,3,הגליל התחתון
609,כפר חושן ,21,צפת ,2,מרום הגליל
388,כפר קיש ,22,כנרת ,3,הגליל התחתון
98,"כפר מל""ל ",42,פתח תקווה ,20,דרום השרון
297,כפר מסריק ,24,עכו ,4,מטה אשר
1095,כפר מימון ,62,באר שבע ,39,שדות נגב
274,כפר מנחם ,61,אשקלון ,35,יואב
387,כפר מונש ,41,השרון ,16,עמק חפר
764,כפר מרדכי ,44,רחובות ,32,גדרות
316,כפר נטר ,41,השרון ,19,חוף השרון
189,כפר פינס ,32,חדרה ,14,מנשה
579,כפר ראש הנקרה ,24,עכו ,4,מטה אשר
1130,כפר רוזנואלד (זרעית) ,24,עכו ,52,מעלה יוסף
295,כפר רופין ,23,עפולה ,7,עמק המעיינות
1166,כפר רות ,43,רמלה ,25,חבל מודיעין
6900,כפר סבא ,42,פתח תקווה ,0,
605,כפר שמאי ,21,צפת ,2,מרום הגליל
267,כפר שמריהו ,51,תל אביב ,0,
743,כפר שמואל ,43,רמלה ,30,גזר
107,כפר סילבר ,61,אשקלון ,36,חוף אשקלון
249,כפר סירקין ,42,פתח תקווה ,20,דרום השרון
345,כפר סאלד ,21,צפת ,1,הגליל העליון
3572,כפר תפוח ,73,טול כרם ,72,שומרון
47,כפר תבור ,22,כנרת ,0,
673,כפר טרומן ,43,רמלה ,25,חבל מודיעין
364,כפר אוריה ,11,ירושלים ,26,מטה יהודה
190,כפר ויתקין ,41,השרון ,16,עמק חפר
320,כפר ורבורג ,61,אשקלון ,33,באר טוביה
1263,כפר ורדים ,24,עכו ,0,
170,כפר יעבץ ,41,השרון ,18,לב השרון
85,כפר יחזקאל ,23,עפולה ,8,הגלבוע
140,כפר יהושע ,23,עפולה ,9,עמק יזרעאל
168,כפר יונה ,41,השרון ,0,
786,כפר זיתים ,22,כנרת ,3,הגליל התחתון
1325,כפר זוהרים ,11,ירושלים ,26,מטה יהודה
1183,כליל ,24,עכו ,4,מטה אשר
1291,כמהין ,62,באר שבע ,48,רמת נגב
1198,כרמים ,62,באר שבע ,41,בני שמעון
88,כרם בן שמן ,43,רמלה ,25,חבל מודיעין
664,כרם בן זמרה ,21,צפת ,2,מרום הגליל
580,"כרם מהר""ל ",32,חדרה ,15,חוף הכרמל
1085,כרם שלום ,62,באר שבע ,38,אשכול
1094,כרם יבנה (ישיבה) ,44,רחובות ,29,חבל יבנה
859,כסלון ,11,ירושלים ,26,מטה יהודה
1321,ח'ואלד ,31,חיפה ,12,זבולון
986,ח'ואלד (שבט) ,25,נצרת ,12,זבולון
63,כנרת (מושבה) ,22,כנרת ,6,עמק הירדן
57,כנרת (קבוצה) ,22,כנרת ,6,עמק הירדן
1153,כישור ,24,עכו ,56,משגב
1296,כסרא-סמיע ,24,עכו ,0,
840,כיסופים ,62,באר שבע ,38,אשכול
1367,כחלה ,62,באר שבע ,69,אל קסום
3564,כוכב השחר ,74,ראמאללה ,73,מטה בנימין
824,כוכב מיכאל ,61,אשקלון ,36,חוף אשקלון
3779,כוכב יעקב ,74,ראמאללה ,73,מטה בנימין
1224,כוכב יאיר ,42,פתח תקווה ,0,
1252,כורזים ,21,צפת ,55,מבואות החרמון
1059,כסיפה ,62,באר שבע ,0,
2023,להב ,62,באר שבע ,41,בני שמעון
380,להבות הבשן ,21,צפת ,1,הגליל העליון
715,להבות חביבה ,32,חדרה ,14,מנשה
24,לכיש ,61,אשקלון ,50,לכיש
1310,לפיד ,43,רמלה ,25,חבל מודיעין
1173,לפידות ,24,עכו ,52,מעלה יוסף
1060,לקיה ,62,באר שבע ,0,
585,לביא ,22,כנרת ,3,הגליל התחתון
1207,לבון ,24,עכו ,56,משגב
1271,להבים ,62,באר שבע ,0,
1114,שריגים (לי-און) ,11,ירושלים ,26,מטה יהודה
674,לימן ,24,עכו ,4,מטה אשר
1230,לבנים ,22,כנרת ,2,מרום הגליל
7000,לוד ,43,רמלה ,0,
595,לוחמי הגיטאות ,24,עכו ,4,מטה אשר
1255,לוטן ,62,באר שבע ,53,חבל אילות
1171,לוטם ,24,עכו ,56,משגב
52,לוזית ,11,ירושלים ,26,מטה יהודה
678,מעגן ,22,כנרת ,6,עמק הירדן
694,מעגן מיכאל ,32,חדרה ,15,חוף הכרמל
3616,מעלה אדומים ,76,בית לחם ,0,
3653,מעלה עמוס ,76,בית לחם ,76,גוש עציון
3608,מעלה אפרים ,75,ירדן )יריחו( ,0,
4008,מעלה גמלא ,29,גולן ,71,גולן
1127,מעלה גלבוע ,23,עפולה ,7,עמק המעיינות
286,מעלה החמישה ,11,ירושלים ,26,מטה יהודה
1327,מעלה עירון ,32,חדרה ,0,
3752,מעלה לבונה ,74,ראמאללה ,73,מטה בנימין
3651,מעלה מכמש ,74,ראמאללה ,73,מטה בנימין
1063,מעלות-תרשיחא ,24,עכו ,0,
344,מענית ,32,חדרה ,14,מנשה
230,מעש ,42,פתח תקווה ,20,דרום השרון
197,מעברות ,41,השרון ,16,עמק חפר
1082,מעגלים ,62,באר שבע ,39,שדות נגב
3657,מעון ,77,חברון ,78,הר חברון
2055,מאור ,32,חדרה ,14,מנשה
272,מעוז חיים ,23,עפולה ,7,עמק המעיינות
416,מעין ברוך ,21,צפת ,1,הגליל העליון
290,מעין צבי ,32,חדרה ,15,חוף הכרמל
1080,מבועים ,62,באר שבע ,42,מרחבים
695,מגן ,62,באר שבע ,38,אשכול
1155,מגן שאול ,23,עפולה ,8,הגלבוע
375,מגל ,32,חדרה ,14,מנשה
722,מגשימים ,42,פתח תקווה ,20,דרום השרון
308,מחניים ,21,צפת ,1,הגליל העליון
1262,צוקים ,62,באר שבע ,54,הערבה התיכונה
1411,מחנה הילה ,44,רחובות ,27,גן רווה
1414,מחנה מרים ,61,אשקלון ,33,באר טוביה
1418,מחנה טלי ,62,באר שבע ,48,רמת נגב
1412,מחנה תל נוף ,44,רחובות ,28,ברנר
1415,מחנה יפה ,62,באר שבע ,42,מרחבים
1196,מחנה יתיר ,62,באר שבע ,0,
1413,מחנה יהודית ,23,עפולה ,9,עמק יזרעאל
1416,מחנה יוכבד ,62,באר שבע ,53,חבל אילות
776,מחסיה ,11,ירושלים ,26,מטה יהודה
516,מג'ד אל-כרום ,24,עכו ,0,
4201,מג'דל שמס ,29,גולן ,0,
1343,מכחול ,62,באר שבע ,69,אל קסום
1154,מלכישוע ,23,עפולה ,7,עמק המעיינות
596,מלכיה ,21,צפת ,1,הגליל העליון
1174,מנוף ,24,עכו ,56,משגב
1205,מנות ,24,עכו ,52,מעלה יוסף
994,מנשית זבדה ,25,נצרת ,9,עמק יזרעאל
843,מרגליות ,21,צפת ,55,מבואות החרמון
4203,מסעדה ,29,גולן ,0,
939,מסעודין אל-עזאזמה ,62,באר שבע ,0,
421,משאבי שדה ,62,באר שבע ,48,רמת נגב
791,משען ,61,אשקלון ,36,חוף אשקלון
3785,משכיות ,75,ירדן )יריחו( ,75,ערבות הירדן
748,מסלול ,62,באר שבע ,42,מרחבים
1258,מסד ,22,כנרת ,3,הגליל התחתון
263,מסדה ,22,כנרת ,6,עמק הירדן
3605,משואה ,75,ירדן )יריחו( ,75,ערבות הירדן
620,משואות יצחק ,61,אשקלון ,34,שפיר
822,מטע ,11,ירושלים ,26,מטה יהודה
1315,מתן ,42,פתח תקווה ,20,דרום השרון
1184,מתת ,24,עכו ,52,מעלה יוסף
3648,מתתיהו ,74,ראמאללה ,73,מטה בנימין
573,מבקיעים ,61,אשקלון ,36,חוף אשקלון
28,מזכרת בתיה ,44,רחובות ,0,
757,מצליח ,43,רמלה ,30,גזר
606,מזור ,42,פתח תקווה ,25,חבל מודיעין
517,מזרעה ,24,עכו ,0,
325,מצובה ,24,עכו ,4,מטה אשר
1128,מי עמי ,32,חדרה ,14,מנשה
102,מאיר שפיה ,32,חדרה ,15,חוף הכרמל
570,מעונה ,24,עכו ,52,מעלה יוסף
668,מפלסים ,61,אשקלון ,37,שער הנגב
689,מגדים ,32,חדרה ,15,חוף הכרמל
586,מגידו ,23,עפולה ,13,מגידו
3599,מחולה ,75,ירדן )יריחו( ,75,ערבות הירדן
649,מייסר ,32,חדרה ,14,מנשה
3614,מכורה ,75,ירדן )יריחו( ,75,ערבות הירדן
164,מלאה ,23,עפולה ,8,הגלבוע
2044,מלילות ,62,באר שבע ,39,שדות נגב
48,מנחמיה ,22,כנרת ,7,עמק המעיינות
347,מנרה ,21,צפת ,1,הגליל העליון
2030,מנוחה ,61,אשקלון ,50,לכיש
1282,מירב ,23,עפולה ,7,עמק המעיינות
1340,מרחב עם ,62,באר שבע ,48,רמת נגב
97,מרחביה (מושב) ,23,עפולה ,9,עמק יזרעאל
66,מרחביה (קיבוץ) ,23,עפולה ,9,עמק יזרעאל
1098,מרכז שפירא ,61,אשקלון ,34,שפיר
4101,מרום גולן ,29,גולן ,71,גולן
607,מירון ,21,צפת ,2,מרום הגליל
731,מישר ,44,רחובות ,32,גדרות
520,משהד ,25,נצרת ,0,
742,מסילת ציון ,11,ירושלים ,26,מטה יהודה
298,מסילות ,23,עפולה ,7,עמק המעיינות
1268,מיתר ,62,באר שבע ,0,
2054,מיטב ,23,עפולה ,8,הגלבוע
43,מטולה ,21,צפת ,0,
1015,מבשרת ציון ,11,ירושלים ,0,
771,מבוא ביתר ,11,ירושלים ,26,מטה יהודה
3569,מבוא דותן ,71,ג'נין ,72,שומרון
4204,מבוא חמה ,29,גולן ,71,גולן
3709,מבוא חורון ,74,ראמאללה ,73,מטה בנימין
1141,מבוא מודיעים ,43,רמלה ,25,חבל מודיעין
1318,מבואות ים ,41,השרון ,16,עמק חפר
3825,מבואות יריחו ,75,ירדן )יריחו( ,75,ערבות הירדן
3745,מצדות יהודה ,77,חברון ,78,הר חברון
4019,מיצר ,29,גולן ,71,גולן
648,מצר ,32,חדרה ,14,מנשה
518,מעיליא ,24,עכו ,0,
2029,מדרך עוז ,23,עפולה ,13,מגידו
1140,מדרשת בן גוריון ,62,באר שבע ,48,רמת נגב
897,מדרשת רופין ,41,השרון ,16,עמק חפר
65,מגדל ,22,כנרת ,0,
874,מגדל העמק ,23,עפולה ,0,
3561,מגדל עוז ,76,בית לחם ,76,גוש עציון
3751,מגדלים ,72,שכם ,72,שומרון
1202,מכמנים ,24,עכו ,56,משגב
382,מכמורת ,41,השרון ,16,עמק חפר
22,מקווה ישראל ,53,חולון ,0,
378,משגב עם ,21,צפת ,1,הגליל העליון
765,משגב דב ,44,רחובות ,32,גדרות
670,משמר איילון ,43,רמלה ,30,גזר
563,משמר דוד ,43,רמלה ,30,גזר
130,משמר העמק ,23,עפולה ,13,מגידו
395,משמר הנגב ,62,באר שבע ,41,בני שמעון
194,משמר השרון ,41,השרון ,16,עמק חפר
729,משמר השבעה ,43,רמלה ,40,שדות דן
732,משמר הירדן ,21,צפת ,55,מבואות החרמון
213,משמרות ,32,חדרה ,14,מנשה
425,משמרת ,41,השרון ,18,לב השרון
1370,מצפה אילן ,32,חדרה ,14,מנשה
829,מבטחים ,62,באר שבע ,38,אשכול
58,מצפה ,22,כנרת ,3,הגליל התחתון
1222,"מצפה אבי""ב ",24,עכו ,56,משגב
1190,מצפה נטופה ,23,עפולה ,3,הגליל התחתון
99,מצפה רמון ,62,באר שבע ,0,
3610,מצפה שלם ,75,ירדן )יריחו( ,74,מגילות ים המלח
3576,מצפה יריחו ,75,ירדן )יריחו( ,73,מטה בנימין
104,מזרע ,23,עפולה ,9,עמק יזרעאל
3797,מודיעין עילית ,74,ראמאללה ,0,
1200,מודיעין-מכבים-רעות ,43,רמלה ,0,
269,מולדת ,23,עפולה ,8,הגלבוע
1163,מורן ,24,עכו ,56,משגב
1178,מורשת ,24,עכו ,56,משגב
208,מוצא עילית ,11,ירושלים ,26,מטה יהודה
481,מגאר ,22,כנרת ,0,
635,מוקייבלה ,23,עפולה ,8,הגלבוע
3787,נעלה ,74,ראמאללה ,73,מטה בנימין
158,נען ,43,רמלה ,30,גזר
3620,נערן ,75,ירדן )יריחו( ,75,ערבות הירדן
524,נאעורה ,23,עפולה ,8,הגלבוע
3713,"נעמ""ה ",75,ירדן )יריחו( ,75,ערבות הירדן
1276,אשבל ,24,עכו ,56,משגב
3646,חמדת ,75,ירדן )יריחו( ,75,ערבות הירדן
844,נחל עוז ,61,אשקלון ,37,שער הנגב
1267,שיטים ,62,באר שבע ,53,חבל אילות
2045,נחלה ,61,אשקלון ,35,יואב
80,נהלל ,23,עפולה ,9,עמק יזרעאל
3767,נחליאל ,74,ראמאללה ,73,מטה בנימין
809,נחם ,11,ירושלים ,26,מטה יהודה
9100,נהריה ,24,עכו ,0,
522,נחף ,24,עכו ,0,
433,נחשולים ,32,חדרה ,15,חוף הכרמל
777,נחשון ,11,ירושלים ,26,מטה יהודה
705,נחשונים ,42,פתח תקווה ,20,דרום השרון
1041,נצאצרה (שבט) ,62,באר שבע ,0,
1254,נטף ,11,ירושלים ,26,מטה יהודה
4014,נטור ,29,גולן ,71,גולן
1366,נווה ,62,באר שבע ,38,אשכול
7300,נצרת ,25,נצרת ,0,
4551,נאות גולן ,29,גולן ,71,גולן
1124,נאות הכיכר ,62,באר שבע ,51,תמר
408,נאות מרדכי ,21,צפת ,1,הגליל העליון
186,נעורים ,41,השרון ,16,עמק חפר
315,נגבה ,61,אשקלון ,35,יואב
3724,נגוהות ,77,חברון ,78,הר חברון
449,נחלים ,42,פתח תקווה ,25,חבל מודיעין
309,נהורה ,61,אשקלון ,50,לכיש
59,נחושה ,11,ירושלים ,26,מטה יהודה
523,ניין ,23,עפולה ,66,בוסתאן אל-מרג'
1143,נס עמים ,24,עכו ,4,מטה אשר
825,נס הרים ,11,ירושלים ,26,מטה יהודה
7200,נס ציונה ,44,רחובות ,0,
2500,נשר ,31,חיפה ,0,
1369,נטע ,61,אשקלון ,50,לכיש
174,נטעים ,44,רחובות ,27,גן רווה
7400,נתניה ,41,השרון ,0,
1242,נתיב העשרה ,61,אשקלון ,36,חוף אשקלון
3555,נתיב הגדוד ,75,ירדן )יריחו( ,75,ערבות הירדן
693,"נתיב הל""ה ",11,ירושלים ,26,מטה יהודה
792,נתיב השיירה ,24,עכו ,4,מטה אשר
246,נתיבות ,62,באר שבע ,0,
1147,נטועה ,24,עכו ,52,מעלה יוסף
396,נבטים ,62,באר שבע ,41,בני שמעון
3573,נוה צוף ,74,ראמאללה ,73,מטה בנימין
4303,"נווה אטי""ב ",29,גולן ,71,גולן
926,נווה אבות ,32,חדרה ,0,
3725,נווה דניאל ,76,בית לחם ,76,גוש עציון
296,נווה איתן ,23,עפולה ,7,עמק המעיינות
1279,נווה חריף ,62,באר שבע ,53,חבל אילות
405,נווה אילן ,11,ירושלים ,26,מטה יהודה
1071,נווה מיכאל ,11,ירושלים ,26,מטה יהודה
827,נווה מבטח ,61,אשקלון ,33,באר טוביה
1259,נווה שלום ,11,ירושלים ,26,מטה יהודה
590,נווה אור ,23,עפולה ,7,עמק המעיינות
312,נווה ים ,32,חדרה ,15,חוף הכרמל
686,נווה ימין ,42,פתח תקווה ,20,דרום השרון
858,נווה ירק ,42,פתח תקווה ,20,דרום השרון
1314,נווה זיו ,24,עכו ,52,מעלה יוסף
1057,נווה זוהר ,62,באר שבע ,51,תמר
1372,נצר חזני ,44,רחובות ,31,נחל שורק
435,נצר סרני ,43,רמלה ,30,גזר
3655,"ניל""י ",74,ראמאללה ,73,מטה בנימין
4035,נמרוד ,29,גולן ,71,גולן
348,ניר עם ,61,אשקלון ,37,שער הנגב
2048,ניר עקיבא ,62,באר שבע ,42,מרחבים
553,ניר בנים ,61,אשקלון ,33,באר טוביה
256,ניר דוד (תל עמל) ,23,עפולה ,7,עמק המעיינות
808,ניר אליהו ,42,פתח תקווה ,20,דרום השרון
769,ניר עציון ,32,חדרה ,15,חוף הכרמל
720,ניר גלים ,44,רחובות ,29,חבל יבנה
11,"ניר ח""ן ",61,אשקלון ,50,לכיש
2047,ניר משה ,62,באר שבע ,42,מרחבים
69,ניר עוז ,62,באר שבע ,38,אשכול
165,ניר יפה ,23,עפולה ,8,הגלבוע
699,ניר ישראל ,61,אשקלון ,36,חוף אשקלון
402,ניר יצחק ,62,באר שבע ,38,אשכול
331,ניר צבי ,43,רמלה ,40,שדות דן
602,נירים ,62,באר שבע ,38,אשכול
1236,נירית ,42,פתח תקווה ,20,דרום השרון
351,ניצן ,61,אשקלון ,36,חוף אשקלון
1419,ניצן ב' ,61,אשקלון ,36,חוף אשקלון
1195,ניצנה (קהילת חינוך) ,62,באר שבע ,48,רמת נגב
851,ניצני עוז ,41,השרון ,18,לב השרון
1280,ניצני סיני ,62,באר שבע ,48,רמת נגב
359,ניצנים ,61,אשקלון ,36,חוף אשקלון
15,נועם ,61,אשקלון ,34,שפיר
1333,נוף איילון ,43,רמלה ,30,גזר
1061,נוף הגליל ,25,נצרת ,0,
257,נופך ,42,פתח תקווה ,25,חבל מודיעין
3790,נופים ,73,טול כרם ,72,שומרון
1284,נופית ,31,חיפה ,12,זבולון
55,נוגה ,61,אשקלון ,50,לכיש
3726,נוקדים ,76,בית לחם ,76,גוש עציון
447,נורדיה ,41,השרון ,18,לב השרון
4304,נוב ,29,גולן ,71,גולן
833,נורית ,23,עפולה ,8,הגלבוע
4010,אודם ,29,גולן ,71,גולן
31,אופקים ,62,באר שבע ,0,
810,עופר ,32,חדרה ,15,חוף הכרמל
3617,עופרה ,74,ראמאללה ,73,מטה בנימין
1046,אוהד ,62,באר שבע ,38,אשכול
737,עולש ,41,השרון ,16,עמק חפר
1108,אומן ,23,עפולה ,8,הגלבוע
666,עומר ,62,באר שבע ,0,
680,אומץ ,41,השרון ,16,עמק חפר
1020,אור עקיבא ,32,חדרה ,0,
1294,אור הגנוז ,21,צפת ,2,מרום הגליל
67,אור הנר ,61,אשקלון ,37,שער הנגב
2400,אור יהודה ,52,רמת גן ,0,
780,אורה ,11,ירושלים ,26,מטה יהודה
882,אורנים ,31,חיפה ,12,זבולון
3760,אורנית ,73,טול כרם ,0,
2012,אורות ,61,אשקלון ,33,באר טוביה
4013,אורטל ,29,גולן ,71,גולן
3748,עתניאל ,77,חברון ,78,הר חברון
32,עוצם ,61,אשקלון ,50,לכיש
2059,"פעמי תש""ז ",62,באר שבע ,42,מרחבים
597,פלמחים ,44,רחובות ,27,גן רווה
1151,פארן ,62,באר שבע ,54,הערבה התיכונה
7800,פרדס חנה-כרכור ,32,חדרה ,0,
171,פרדסיה ,41,השרון ,0,
599,פרוד ,21,צפת ,2,מרום הגליל
749,פטיש ,62,באר שבע ,42,מרחבים
838,פדיה ,43,רמלה ,30,גזר
3768,פדואל ,73,טול כרם ,72,שומרון
750,פדויים ,62,באר שבע ,42,מרחבים
1185,פלך ,24,עכו ,56,משגב
3723,פני חבר ,77,חברון ,78,הר חברון
536,פקיעין (בוקייעה) ,24,עכו ,0,
281,פקיעין חדשה ,24,עכו ,52,מעלה יוסף
2053,פרזון ,23,עפולה ,8,הגלבוע
1231,פרי גן ,62,באר שבע ,38,אשכול
3659,פסגות ,74,ראמאללה ,73,מטה בנימין
7900,פתח תקווה ,42,פתח תקווה ,0,
839,פתחיה ,43,רמלה ,30,גזר
3615,פצאל ,75,ירדן )יריחו( ,75,ערבות הירדן
767,פורת ,41,השרון ,18,לב השרון
1313,פוריה עילית ,22,כנרת ,6,עמק הירדן
1104,פוריה - כפר עבודה ,22,כנרת ,6,עמק הירדן
1105,פוריה - נווה עובד ,22,כנרת ,6,עמק הירדן
1234,קבועה (שבט) ,62,באר שבע ,0,
1211,קדרים ,22,כנרת ,1,הגליל העליון
195,קדימה-צורן ,41,השרון ,0,
638,קלנסווה ,41,השרון ,0,
3601,קליה ,75,ירדן )יריחו( ,74,מגילות ים המלח
3640,קרני שומרון ,73,טול כרם ,0,
972,קוואעין (שבט) ,62,באר שבע ,0,
1243,קציר ,32,חדרה ,14,מנשה
4100,קצרין ,29,גולן ,0,
3781,קדר ,76,בית לחם ,76,גוש עציון
392,קדמה ,61,אשקלון ,35,יואב
3557,קדומים ,73,טול כרם ,0,
4024,קלע ,29,גולן ,71,גולן
414,קלחים ,62,באר שבע ,42,מרחבים
1167,קיסריה ,32,חדרה ,15,חוף הכרמל
4006,קשת ,29,גולן ,71,גולן
1052,קטורה ,62,באר שבע ,53,חבל אילות
334,קבוצת יבנה ,44,רחובות ,29,חבל יבנה
4025,קדמת צבי ,29,גולן ,71,גולן
615,קדרון ,44,רחובות ,28,ברנר
78,קרית ענבים ,11,ירושלים ,26,מטה יהודה
3611,קרית ארבע ,77,חברון ,0,
6800,קרית אתא ,31,חיפה ,0,
9500,קרית ביאליק ,31,חיפה ,0,
469,קרית עקרון ,44,רחובות ,0,
2630,קרית גת ,61,אשקלון ,0,
1034,קרית מלאכי ,61,אשקלון ,0,
8200,קרית מוצקין ,31,חיפה ,0,
3746,קרית נטפים ,73,טול כרם ,72,שומרון
2620,קרית אונו ,52,רמת גן ,0,
412,קרית שלמה ,41,השרון ,19,חוף השרון
2800,קרית שמונה ,21,צפת ,0,
2300,קרית טבעון ,31,חיפה ,0,
9600,קרית ים ,31,חיפה ,0,
1137,קרית יערים ,11,ירושלים ,0,
2039,קרית יערים(מוסד) ,11,ירושלים ,26,מטה יהודה
766,קוממיות ,61,אשקלון ,34,שפיר
1179,קורנית ,24,עכו ,56,משגב
964,קודייראת א-צאנע(שבט) ,62,באר שבע ,0,
8700,רעננה ,42,פתח תקווה ,0,
1161,רהט ,62,באר שבע ,0,
1069,רם-און ,23,עפולה ,8,הגלבוע
135,רמת דוד ,23,עפולה ,9,עמק יזרעאל
8600,רמת גן ,52,רמת גן ,0,
184,רמת הכובש ,42,פתח תקווה ,20,דרום השרון
2650,רמת השרון ,51,תל אביב ,0,
335,רמת השופט ,23,עפולה ,13,מגידו
4701,רמת מגשימים ,29,גולן ,71,גולן
127,רמת רחל ,11,ירושלים ,26,מטה יהודה
460,רמת רזיאל ,11,ירושלים ,26,מטה יהודה
122,רמת ישי ,23,עפולה ,0,
178,רמת יוחנן ,31,חיפה ,12,זבולון
339,רמת צבי ,23,עפולה ,8,הגלבוע
543,ראמה ,24,עכו ,0,
8500,רמלה ,43,רמלה ,0,
4702,רמות ,29,גולן ,71,גולן
206,רמות השבים ,42,פתח תקווה ,20,דרום השרון
735,רמות מאיר ,43,רמלה ,30,גזר
445,רמות מנשה ,23,עפולה ,13,מגידו
372,רמות נפתלי ,21,צפת ,55,מבואות החרמון
789,רנן ,62,באר שבע ,42,מרחבים
1228,רקפת ,24,עכו ,56,משגב
1334,ראס אל-עין ,24,עכו ,56,משגב
990,ראס עלי ,31,חיפה ,12,זבולון
1225,רביד ,22,כנרת ,6,עמק הירדן
713,רעים ,62,באר שבע ,38,אשכול
444,רגבים ,32,חדרה ,14,מנשה
390,רגבה ,24,עכו ,4,מטה אשר
3568,ריחן ,71,ג'נין ,72,שומרון
3822,רחלים ,72,שכם ,72,שומרון
854,רחוב ,23,עפולה ,7,עמק המעיינות
8400,רחובות ,44,רחובות ,0,
540,ריחאניה ,21,צפת ,2,מרום הגליל
542,ריינה ,25,נצרת ,0,
922,רכסים ,31,חיפה ,0,
437,רשפים ,23,עפולה ,7,עמק המעיינות
1260,רתמים ,62,באר שבע ,48,רמת נגב
564,רבדים ,61,אשקלון ,35,יואב
3795,רבבה ,72,שכם ,72,שומרון
354,רביבים ,62,באר שבע ,48,רמת נגב
2051,רווחה ,61,אשקלון ,34,שפיר
2016,רוויה ,23,עפולה ,7,עמק המעיינות
3565,רימונים ,74,ראמאללה ,73,מטה בנימין
616,רינתיה ,42,פתח תקווה ,25,חבל מודיעין
8300,ראשון לציון ,44,רחובות ,0,
247,רשפון ,41,השרון ,19,חוף השרון
3619,רועי ,75,ירדן )יריחו( ,75,ערבות הירדן
2640,ראש העין ,42,פתח תקווה ,0,
26,ראש פינה ,21,צפת ,0,
3602,ראש צורים ,76,בית לחם ,76,גוש עציון
3782,רותם ,75,ירדן )יריחו( ,75,ערבות הירדן
1341,רוח מדבר ,62,באר שבע ,48,רמת נגב
362,רוחמה ,61,אשקלון ,37,שער הנגב
997,רומת הייב ,25,נצרת ,65,אל-בטוף
539,רומאנה ,25,נצרת ,65,אל-בטוף
419,סעד ,62,באר שבע ,39,שדות נגב
454,סער ,24,עכו ,4,מטה אשר
1360,סעוה ,62,באר שבע ,69,אל קסום
525,סאג'ור ,24,עכו ,0,
7500,סח'נין ,24,עכו ,0,
3567,סלעית ,73,טול כרם ,72,שומרון
1245,סלמה ,24,עכו ,56,משגב
1156,סמר ,62,באר שבע ,53,חבל אילות
636,צנדלה ,23,עפולה ,8,הגלבוע
1176,ספיר ,62,באר שבע ,54,הערבה התיכונה
126,שריד ,23,עפולה ,9,עמק יזרעאל
578,סאסא ,21,צפת ,1,הגליל העליון
587,סביון ,42,פתח תקווה ,0,
989,סואעד (כמאנה) (שבט) ,24,עכו ,0,
942,סואעד (חמרייה) ,24,עכו ,9,עמק יזרעאל
1170,סייד (שבט) ,62,באר שבע ,0,
1223,שדי אברהם ,62,באר שבע ,38,אשכול
885,שדה בוקר ,62,באר שבע ,48,רמת נגב
36,שדה דוד ,61,אשקלון ,50,לכיש
861,שדה אליעזר ,21,צפת ,55,מבואות החרמון
304,שדה אליהו ,23,עפולה ,7,עמק המעיינות
2015,שדי חמד ,42,פתח תקווה ,20,דרום השרון
721,שדה אילן ,22,כנרת ,3,הגליל התחתון
18,שדה משה ,61,אשקלון ,50,לכיש
259,שדה נחום ,23,עפולה ,7,עמק המעיינות
329,שדה נחמיה ,21,צפת ,1,הגליל העליון
1058,שדה ניצן ,62,באר שבע ,38,אשכול
2057,שדי תרומות ,23,עפולה ,7,עמק המעיינות
739,שדה עוזיהו ,61,אשקלון ,33,באר טוביה
284,שדה ורבורג ,42,פתח תקווה ,20,דרום השרון
142,שדה יעקב ,23,עפולה ,9,עמק יזרעאל
2008,שדה יצחק ,32,חדרה ,14,מנשה
293,שדה יואב ,61,אשקלון ,35,יואב
2049,שדה צבי ,62,באר שבע ,42,מרחבים
1031,שדרות ,61,אשקלון ,0,
27,שדות מיכה ,11,ירושלים ,26,מטה יהודה
